Protocol,Message Length,Message Count,sleep,receivers,Total Time,Average
--------------------IVY------------------
IVY,5,1000,0,1,0.05169820785522461,0.026454007863998413
IVY,5,2000,0,1,0.25504088401794434,0.016691965460777284
IVY,5,3000,0,1,0.4492933750152588,0.010578643957773845
IVY,5,4000,0,1,0.4637472629547119,0.014803167581558228
IVY,5,5000,0,1,0.7494664192199707,0.010094752025604248
IVY,5,6000,0,1,0.9441537857055664,0.007592738707860311
IVY,5,7000,0,1,1.4207267761230469,0.004180315085819789
IVY,5,8000,0,1,1.7282435894012451,0.006924677520990372
IVY,5,9000,0,1,1.4056200981140137,0.005660735183291965
IVY,5,10000,0,1,1.9626610279083252,0.005923868250846863
IVY,500,1000,0,1,0.17490625381469727,0.0022665727138519286
IVY,500,2000,0,1,0.4014139175415039,0.00746632468700409
IVY,500,3000,0,1,0.5660924911499023,0.006591102202733358
IVY,500,4000,0,1,0.7924709320068359,0.011138847768306733
IVY,500,5000,0,1,0.7454366683959961,0.009169520950317383
IVY,500,6000,0,1,0.729079008102417,0.005770313143730163
IVY,500,7000,0,1,0.885251522064209,0.008840988533837454
IVY,500,8000,0,1,1.1574161052703857,0.011715866893529893
IVY,500,9000,0,1,1.6583428382873535,0.012880666971206664
IVY,500,10000,0,1,1.473238468170166,0.01098703076839447
IVY,1000,1000,0,1,0.28431272506713867,0.004539000988006592
IVY,1000,2000,0,1,0.40718889236450195,0.006389126420021057
IVY,1000,3000,0,1,0.5280730724334717,0.006465121905008952
IVY,1000,4000,0,1,0.6924960613250732,0.007175269901752472
IVY,1000,5000,0,1,0.9069027900695801,0.008209161806106568
IVY,1000,6000,0,1,0.9167120456695557,0.009123475869496663
IVY,1000,7000,0,1,1.344360589981079,0.008293453795569283
IVY,1000,8000,0,1,1.8161652088165283,0.010400704681873322
IVY,1000,9000,0,1,1.9178261756896973,0.010924814303716024
IVY,1000,10000,0,1,1.9601128101348877,0.008268429136276245
IVY,2000,1000,0,1,0.1856391429901123,0.026981230974197388
IVY,2000,2000,0,1,0.567903995513916,0.015797992587089537
IVY,2000,3000,0,1,1.0167210102081299,0.008997091849644978

IVY,2000,5000,0,1,1.4701893329620361,0.010309982967376709
IVY,2000,6000,0,1,1.660341501235962,0.008336464206377665
IVY,2000,7000,0,1,2.087831974029541,0.008302479199000767
