Protocol,Message Length,Message Count,sleep,receivers,Total Time,Average
--------------------IVY------------------
Envoi de batchs de messages sans sleep de 5 caracteres avec ivy
IVY,5,1000,0,1,0.07947015762329102,0.0034448263645172118
IVY,5,2000,0,1,0.1648387908935547,0.020440534114837646
IVY,5,3000,0,1,0.3212909698486328,0.010483225266138712
IVY,5,4000,0,1,0.32568979263305664,0.012196497321128845
IVY,5,5000,0,1,0.7934496402740479,0.007450669574737549
IVY,5,6000,0,1,0.5901830196380615,0.006478979746500651
IVY,5,7000,0,1,1.0579485893249512,0.006158576352255685
IVY,5,8000,0,1,1.37251877784729,0.004421907275915146
IVY,5,9000,0,1,1.3527767658233643,0.00418288697136773
IVY,5,10000,0,1,1.6562607288360596,0.0030071598291397093
Envoi de batchs de messages sans sleep de 500 caracteres avec ivy
IVY,500,1000,0,1,0.1548624038696289,0.0009711127281188964
IVY,500,2000,0,1,0.27166056632995605,0.005486988306045533
IVY,500,3000,0,1,0.3483896255493164,0.00875692892074585
IVY,500,4000,0,1,0.5603005886077881,0.007682520270347595
IVY,500,5000,0,1,0.5952999591827393,0.0061561485767364504
IVY,500,6000,0,1,0.7702121734619141,0.008644171516100566
IVY,500,7000,0,1,0.8740108013153076,0.00984748877797808
IVY,500,8000,0,1,1.0705208778381348,0.009821723967790604
IVY,500,9000,0,1,1.1329176425933838,0.009609517176946004
IVY,500,10000,0,1,1.291747808456421,0.010255270528793334
Envoi de batchs de messages sans sleep de 1000 caracteres avec ivy
IVY,1000,1000,0,1,0.18329191207885742,0.003869697332382202
IVY,1000,2000,0,1,0.28647279739379883,0.004454163193702698
IVY,1000,3000,0,1,0.480069637298584,0.006398067871729533
IVY,1000,4000,0,1,0.4750368595123291,0.00347078537940979
IVY,1000,5000,0,1,1.0943949222564697,0.0015293889999389648
IVY,1000,6000,0,1,0.9647431373596191,0.007129817922910055
IVY,1000,7000,0,1,1.0048248767852783,0.006132936920438494
IVY,1000,8000,0,1,1.2283000946044922,0.006289509475231171
IVY,1000,9000,0,1,1.623589277267456,0.0032671498987409805
IVY,1000,10000,0,1,1.583402395248413,0.004475033736228943
Envoi de batchs de messages sans sleep de 2000 caracteres avec ivy
IVY,2000,1000,0,1,0.14173412322998047,0.003739171504974365
IVY,2000,2000,0,1,0.36157798767089844,0.004838962793350219
IVY,2000,3000,0,1,0.5263738632202148,0.10159951424598694
IVY,2000,4000,0,1,0.8035626411437988,0.0036320242285728453
IVY,2000,5000,0,1,0.7572445869445801,0.003583389377593994
IVY,2000,6000,0,1,1.2237634658813477,0.0044325544039408365
IVY,2000,7000,0,1,1.4602124691009521,0.005256175586155483
IVY,2000,8000,0,1,1.6454627513885498,0.004647096037864685
IVY,2000,9000,0,1,1.8424994945526123,0.004363403505749173
IVY,2000,10000,0,1,2.0801689624786377,0.00496792311668396
Envoi de batchs de messages sans sleep de 3000 caracteres avec ivy
IVY,3000,1000,0,1,0.17748022079467773,0.004489049434661865
IVY,3000,2000,0,1,0.42685842514038086,0.002465009570121765
IVY,3000,3000,0,1,0.7483060359954834,0.0069766492843627926
IVY,3000,4000,0,1,1.0463464260101318,0.004441686272621155
IVY,3000,5000,0,1,1.0422437191009521,0.0036441317558288575
IVY,3000,6000,0,1,1.17995285987854,0.04285733970006307
IVY,3000,7000,0,1,1.8994786739349365,0.0047938099588666645
IVY,3000,8000,0,1,2.208416700363159,0.004365804642438889
