Protocol,Message Length,Message Count,sleep,receivers,Total Time,Average
--------------------IVY------------------
IVY,5,1000,0,1,0.1268758773803711,0.0004340677261352539
IVY,5,2000,0,1,0.08937501907348633,0.00044909512996673583
IVY,5,3000,0,1,0.3080329895019531,0.0001917600631713867
IVY,5,4000,0,1,0.22155499458312988,0.0008744372129440307
IVY,5,5000,0,1,0.3058302402496338,0.0006826196193695068
IVY,5,6000,0,1,0.4714832305908203,0.0004863166809082031
IVY,5,7000,0,1,0.6463780403137207,0.0001723529611315046
IVY,5,8000,0,1,0.6583664417266846,0.0003773180544376373
IVY,5,9000,0,1,0.666013240814209,0.000852321704228719
IVY,5,10000,0,1,0.6036245822906494,0.00047511715888977053
IVY,500,1000,0,1,0.07934999465942383,0.000856450080871582
IVY,500,2000,0,1,
'Sender']],application
IVY,500,3000,0,1,0.2548713684082031,0.0013116766611735026
IVY,500,4000,0,1,0.35581302642822266,0.0005799404382705689
IVY,500,5000,0,1,0.3480565547943115,0.0005955862522125245
IVY,500,6000,0,1,0.3677520751953125,0.000689555565516154
IVY,500,7000,0,1,0.4226036071777344,0.0006252458436148507
IVY,500,8000,0,1,0.4407308101654053,0.0005150604844093323
IVY,500,9000,0,1,0.4767439365386963,0.0004933548503451877
IVY,500,10000,0,1,0.606013298034668,0.0005380826711654664
IVY,1000,1000,0,1,0.1249990463256836,0.0014336576461791992
IVY,1000,2000,0,1,0.17605042457580566,0.0008013037443161011
IVY,1000,3000,0,1,0.1809098720550537,0.0009441336790720621
IVY,1000,4000,0,1,0.38039445877075195,0.0009818344712257386
IVY,1000,5000,0,1,0.29025816917419434,0.0005489712715148926
IVY,1000,6000,0,1,0.36309218406677246,0.0008882325887680054
IVY,1000,7000,0,1,0.4097318649291992,0.0008491789954049246
IVY,1000,8000,0,1,0.46506428718566895,0.0005740841031074524
IVY,1000,9000,0,1,0.6045079231262207,0.0007485032876332601
IVY,1000,10000,0,1,0.6441795825958252,0.0006491337060928345
IVY,2000,1000,0,1,0.09997987747192383,0.0010568413734436035
IVY,2000,2000,0,1,0.22467899322509766,0.0010368590354919434
IVY,2000,3000,0,1,0.3622145652770996,0.0011165591875712077
IVY,2000,4000,0,1,0.3392980098724365,0.0018607756495475768
IVY,2000,5000,0,1,0.4148995876312256,0.0020919316291809083
IVY,2000,6000,0,1,0.4840855598449707,0.0017083837985992431
IVY,2000,7000,0,1,0.6210980415344238,0.001124131577355521
IVY,2000,8000,0,1,,
IVY,2000,9000,0,1,0.7362780570983887,0.0022313288317786324
IVY,2000,10000,0,1,0.826136589050293,0.0012806789636611937
IVY,3000,1000,0,1,0.137528657913208,0.0012975101470947266
IVY,3000,2000,0,1,0.1745307445526123,0.0014769119024276734
IVY,3000,3000,0,1,0.3059244155883789,0.0020148657162984214
IVY,3000,4000,0,1,0.3848106861114502,0.001632568120956421
IVY,3000,5000,0,1,0.4835057258605957,0.0016501142501831054
IVY,3000,6000,0,1,,
IVY,3000,7000,0,1,0.8350107669830322,0.001272395236151559
IVY,3000,8000,0,1,0.7479112148284912,0.0017251873314380645
