Protocol,Message Length,Message Count,sleep,receivers,Total Time,Average
--------------------IVY------------------
IVY,5,1000,0,1,,
IVY,5,2000,0,1,,application
IVY,5,3000,0,1,,
IVY,5,4000,0,1,,
IVY,5,5000,0,1,,
IVY,5,6000,0,1,,
IVY,5,7000,0,1,,
IVY,5,8000,0,1,,
IVY,5,9000,0,1,,application
IVY,5,10000,0,1,,
IVY,5,75000,0,1,,
IVY,5,100000,0,1,,
IVY,5,200000,0,1,,
IVY,5,300000,0,1,,
IVY,5,400000,0,1,,
IVY,5,500000,0,1,,
IVY,5,600000,0,1,,
IVY,5,700000,0,1,,
IVY,5,800000,0,1,188.15475416183472,0.00297725535184145
IVY,5,900000,0,1,,
IVY,5,1000000,0,1,,
IVY,500,1000,0,1,,application
IVY,500,2000,0,1,,
IVY,500,3000,0,1,,
IVY,500,4000,0,1,,
IVY,500,5000,0,1,,
IVY,500,6000,0,1,,
IVY,500,7000,0,1,,
IVY,500,8000,0,1,,
IVY,500,9000,0,1,,
IVY,500,10000,0,1,,
IVY,500,75000,0,1,,
IVY,500,100000,0,1,,
IVY,500,200000,0,1,,
IVY,500,300000,0,1,,
IVY,500,400000,0,1,,
IVY,500,500000,0,1,,
IVY,500,600000,0,1,,
IVY,500,700000,0,1,,
IVY,500,800000,0,1,,
IVY,500,900000,0,1,,
IVY,500,1000000,0,1,,
IVY,1000,1000,0,1,,
IVY,1000,2000,0,1,,
IVY,1000,3000,0,1,,
IVY,1000,4000,0,1,,
IVY,1000,5000,0,1,,
IVY,1000,6000,0,1,,
IVY,1000,7000,0,1,,
IVY,1000,8000,0,1,,
IVY,1000,9000,0,1,,
IVY,1000,10000,0,1,,
IVY,1000,75000,0,1,,
IVY,1000,100000,0,1,,
IVY,1000,200000,0,1,,
IVY,1000,300000,0,1,,
IVY,1000,400000,0,1,,
IVY,1000,500000,0,1,,
IVY,1000,600000,0,1,,
IVY,1000,700000,0,1,,
