Protocol,Message Length,Message Count,sleep,receivers,Total Time,Average
--------------------IVY------------------
IVY,5,1000,0,1,0.03161168098449707,0.013465661525726319
IVY,5,2000,0,1,0.049520254135131836,0.0052454031705856325
IVY,5,3000,0,1,0.07384705543518066,0.005413231611251831
IVY,5,4000,0,1,0.08351707458496094,0.00452346271276474
IVY,5,5000,0,1,0.09279394149780273,0.0030375903129577636
IVY,5,6000,0,1,0.15679287910461426,0.00315124773979187
IVY,5,7000,0,1,0.16887974739074707,0.002527850934437343
IVY,5,8000,0,1,0.149672269821167,0.0020317442715167998
IVY,5,9000,0,1,0.1990375518798828,0.0016610240406460233
IVY,5,10000,0,1,0.22251462936401367,0.0016834421157836915
IVY,500,1000,0,1,0.03034210205078125,0.00042478346824645997
IVY,500,2000,0,1,0.06467199325561523,0.0009906160831451415
IVY,500,3000,0,1,0.08553481101989746,0.000752805233001709
IVY,500,4000,0,1,0.12906742095947266,0.0018038166165351868
IVY,500,5000,0,1,0.12828469276428223,0.0015583727836608887
IVY,500,6000,0,1,0.1636049747467041,0.0018257229725519815
IVY,500,7000,0,1,0.17147064208984375,0.0013482342447553362
IVY,500,8000,0,1,0.19295930862426758,0.0021538391411304474
IVY,500,9000,0,1,0.2142035961151123,0.0018659558561113145
IVY,500,10000,0,1,0.22620511054992676,0.0018923254013061524
IVY,1000,1000,0,1,0.03348827362060547,0.0004848873615264893
IVY,1000,2000,0,1,0.0651695728302002,0.0009005171060562134
IVY,1000,3000,0,1,0.08937358856201172,0.000698171854019165
IVY,1000,4000,0,1,0.12929964065551758,0.0010524001717567445
IVY,1000,5000,0,1,0.14899587631225586,0.0008818389892578125
IVY,1000,6000,0,1,0.16223955154418945,0.0009128828048706054
IVY,1000,7000,0,1,0.19310498237609863,0.0010597008977617536
IVY,1000,8000,0,1,0.20102500915527344,0.0009540055692195893
IVY,1000,9000,0,1,0.2782003879547119,0.0010564711358812121
IVY,1000,10000,0,1,0.2852814197540283,0.001074215841293335
IVY,2000,1000,0,1,0.04223752021789551,0.0009590404033660889
IVY,2000,2000,0,1,0.06248664855957031,0.0028627523183822634
IVY,2000,3000,0,1,,
IVY,2000,4000,0,1,0.13340353965759277,0.0010437611937522888
IVY,2000,5000,0,1,0.16289401054382324,0.0023871290683746336
IVY,2000,6000,0,1,0.22123432159423828,0.006922152717908223
IVY,2000,7000,0,1,0.2102041244506836,0.011280515262058803
IVY,2000,8000,0,1,0.3250453472137451,0.01535006108880043
IVY,2000,9000,0,1,0.6240243911743164,0.05737726394335429
IVY,2000,10000,0,1,0.34720706939697266,0.005561331534385681
IVY,3000,1000,0,1,0.0513918399810791,0.004047219753265381
IVY,3000,2000,0,1,0.08847665786743164,0.01390122377872467
IVY,3000,3000,0,1,0.16304397583007812,0.015536686738332113
IVY,3000,4000,0,1,0.19078731536865234,0.04003144645690918
IVY,3000,5000,0,1,0.19710731506347656,0.0011062301635742188
IVY,3000,6000,0,1,0.2180492877960205,0.003934245705604553
IVY,3000,7000,0,1,0.3193821907043457,0.0029806268896375382
IVY,3000,8000,0,1,0.3262295722961426,0.0015430998206138612
IVY,3000,9000,0,1,0.32880187034606934,0.022187707291709054
IVY,3000,10000,0,1,,application
--------------------ZeroMQ------------------
Envoi de batchs de messages sans sleep de 5 caractères avec zeromq
