Protocol,Message Length,Message Count,sleep,receivers,Total Time,Average
--------------------IVY------------------
IVY,5,1000,0,1,0.02947998046875,0.007250619888305664
IVY,5,2000,0,1,0.04889702796936035,0.009108570575714112
IVY,5,3000,0,1,0.07213997840881348,0.0060126371383666995
IVY,5,4000,0,1,0.16629791259765625,0.011380414068698884
IVY,5,5000,0,1,0.11721086502075195,0.004233634233474732
IVY,5,6000,0,1,0.1225595474243164,0.004606813549995422
IVY,5,7000,0,1,0.36332273483276367,0.004708524056843349
IVY,5,8000,0,1,0.39402294158935547,0.003006942838430405
IVY,5,9000,0,1,,application
IVY,5,10000,0,1,0.2210540771484375,0.0029751406669616697
IVY,500,1000,0,1,0.07403755187988281,0.0020492668151855468
IVY,500,2000,0,1,0.0883333683013916,0.004403970599174499
IVY,500,3000,0,1,0.11149835586547852,0.002078624645868937
IVY,500,4000,0,1,0.250516414642334,0.0006756497025489808
IVY,500,5000,0,1,0.14857125282287598,0.0012762194633483886
IVY,500,6000,0,1,0.29221153259277344,0.0034076703786849977
IVY,500,7000,0,1,0.25634312629699707,0.0028041421345302037
IVY,500,8000,0,1,0.32134008407592773,0.00225143501162529
IVY,500,9000,0,1,0.30800890922546387,0.002166024578942193
IVY,500,10000,0,1,,application
IVY,1000,1000,0,1,0.05893349647521973,0.0032270004749298097
IVY,1000,2000,0,1,0.07841968536376953,0.0085637127161026
IVY,1000,3000,0,1,0.13291716575622559,0.004712476253509522
IVY,1000,4000,0,1,0.14130735397338867,0.00293050479888916
IVY,1000,5000,0,1,0.2014176845550537,0.0025464869022369385
IVY,1000,6000,0,1,0.2529489994049072,0.0017676042715708414
IVY,1000,7000,0,1,0.3053879737854004,0.00196377614566258
IVY,1000,8000,0,1,0.26866817474365234,0.0019445257484912873
IVY,1000,9000,0,1,0.3647639751434326,0.00300133032268948
IVY,1000,10000,0,1,0.4290635585784912,0.0017352169752120972
IVY,2000,1000,0,1,0.08555173873901367,0.010245224714279175
IVY,2000,2000,0,1,,application
IVY,2000,3000,0,1,0.1086416244506836,0.0036062414646148683
IVY,2000,4000,0,1,0.1515216827392578,0.0023202099204063416
IVY,2000,5000,0,1,0.19581103324890137,0.003399470329284668
IVY,2000,6000,0,1,,application
IVY,2000,7000,0,1,0.27208876609802246,0.008290838684354509
IVY,2000,8000,0,1,,application
IVY,2000,9000,0,1,0.31940531730651855,0.009388275808758206
IVY,2000,10000,0,1,,application
IVY,3000,1000,0,1,0.05883431434631348,0.0223784019947052
IVY,3000,2000,0,1,0.12373018264770508,0.025094306349754333
IVY,3000,3000,0,1,0.14635515213012695,0.005669433037439982
IVY,3000,4000,0,1,0.272768497467041,0.05466473162174225
IVY,3000,5000,0,1,0.3212714195251465,0.010591755199432373
IVY,3000,6000,0,1,0.2858099937438965,0.02584159274895986
IVY,3000,7000,0,1,0.3211836814880371,0.040077375514166694
IVY,3000,8000,0,1,0.377363920211792,0.016531910508871078
IVY,3000,9000,0,1,,application
IVY,3000,10000,0,1,,application
--------------------ZeroMQ------------------
Envoi de batchs de messages sans sleep de 5 caractères avec zeromq
ZeroMQ,5,1000,0,1,,
ZeroMQ,5,2000,0,1,,
ZeroMQ,5,3000,0,1,,
ZeroMQ,5,4000,0,1,,
ZeroMQ,5,5000,0,1,,
ZeroMQ,5,6000,0,1,,
ZeroMQ,5,7000,0,1,,
ZeroMQ,5,8000,0,1,,
ZeroMQ,5,9000,0,1,,
ZeroMQ,5,10000,0,1,,
Envoi de batchs de messages sans sleep de 500 caractères avec zeromq
ZeroMQ,500,1000,0,1,,
ZeroMQ,500,2000,0,1,,
ZeroMQ,500,3000,0,1,,
ZeroMQ,500,4000,0,1,,
