Protocol,Message Length,Message Count,sleep,receivers,Total Time,Average
--------------------IVY------------------
IVY,5,1000,0.0001,1,0.10655593872070312,0.017497008800506593
IVY,5,2000,0.0001,1,0.35900425910949707,0.009270715236663818
IVY,5,3000,0.0001,1,0.5213885307312012,0.013685482501983643
IVY,5,4000,0.0001,1,0.8816967010498047,0.006774668693542481
IVY,5,5000,0.0001,1,0.9932019710540771,0.006188811779022217
IVY,5,6000,0.0001,1,1.4289262294769287,0.00517869770526886
IVY,5,7000,0.0001,1,1.6055893898010254,0.0039042473520551407
IVY,5,8000,0.0001,1,2.176625967025757,0.0013780710995197295
IVY,5,9000,0.0001,1,1.9880008697509766,0.0030994606282975937
IVY,5,10000,0.0001,1,2.243190050125122,0.0037483663082122803
IVY,500,1000,0.0001,1,0.24602556228637695,0.000887394666671753
IVY,500,2000,0.0001,1,0.4491391181945801,0.0038863693475723266
IVY,500,3000,0.0001,1,0.5092780590057373,0.009855684359868368
IVY,500,4000,0.0001,1,0.7151699066162109,0.006761152446269989
IVY,500,5000,0.0001,1,0.8399546146392822,0.009659934282302857
IVY,500,6000,0.0001,1,0.7301356792449951,0.005030254324277242
IVY,500,7000,0.0001,1,1.218505859375,0.007075082642691476
IVY,500,8000,0.0001,1,1.284012794494629,0.007595082014799118
IVY,500,9000,0.0001,1,1.528684377670288,0.011334690915213691
IVY,500,10000,0.0001,1,1.5047142505645752,0.012581890177726745
IVY,1000,1000,0.0001,1,0.19327759742736816,0.0020710773468017576
IVY,1000,2000,0.0001,1,0.3846285343170166,0.006384805679321289
IVY,1000,3000,0.0001,1,0.53025221824646,0.007457400321960449
IVY,1000,4000,0.0001,1,0.8198056221008301,0.008390243113040924
IVY,1000,5000,0.0001,1,1.3209433555603027,0.011815128707885742
IVY,1000,6000,0.0001,1,1.0964913368225098,0.008267473340034484
